id,name,total_track,images,release_date
5uLD1utqjqCFswSo7ZEuhr,We Sing. We Dance. We Steal Things. We Deluxe Edition.,26,https://i.scdn.co/image/ab67616d0000b273169da94d0df8359c07839530,2023-09-22
4HCUsZGlWSq1GrpgA9167A,Mystical Magical Rhythmical Radical Ride,10,https://i.scdn.co/image/ab67616d0000b273936563d574a962c9e59afda4,2023-06-23
5XmgxU4rDcAoP1EHiSFYBX,Waiting for My Rocket to Come (Expanded Edition),14,https://i.scdn.co/image/ab67616d0000b2733a26f1255146a18c369ac927,2022-10-14
3iR4OOkj5x44bRxkPP6fls,Lalalalovesongs,12,https://i.scdn.co/image/ab67616d0000b2737e10b49a17a1fce808b646c1,2022-02-11
67OQDxAUZjR85YRnd74V3o,Jason Mraz Live & Acoustic 2001 (20th Anniversary Edition),17,https://i.scdn.co/image/ab67616d0000b2732c51ab2f04b1393df5a25589,2021-11-05
2py2U8ypMQJkAcr1SnQCHz,Look For The Good (Deluxe Edition),18,https://i.scdn.co/image/ab67616d0000b273d22bb4ea9b3e5f21196792bd,2021-07-16
7dwIWyB2jdJgL3P2JEgRKm,Know.,10,https://i.scdn.co/image/ab67616d0000b2731b84102f154deb7a798ed372,2018-08-10
22MrOvzmcn6WeE4v6Ua6dj,Spotify Sessions,6,https://i.scdn.co/image/ab67616d0000b27371a0388dddc2aef9b1d66765,2014-09-16
1l62CqhREU19alAm7OCaKg,Yes! (Deluxe Edition),19,https://i.scdn.co/image/ab67616d0000b273a4c681e93a13028d332cda70,2014-07-11
2bqksLEQxw80lhxXp6Xtcz,YES!,14,https://i.scdn.co/image/ab67616d0000b2739157ad65874195e75c14d243,2014-07-08
7oD9oCCtFhg5RoLtMR5TKl,Love Is a Four Letter Word,13,https://i.scdn.co/image/ab67616d0000b2733f1ceb305415a090c0885986,2012-04-13
3ZJCkMzqe5OzSkYMrCcuAs,Jason Mraz's Beautiful Mess: Live on Earth,16,https://i.scdn.co/image/ab67616d0000b2733bed4c661cf4ccabbbcff9d9,2009-11-06
04G0YylSjvDQZrjOfE5jA5,We Sing. We Dance. We Steal Things.,12,https://i.scdn.co/image/ab67616d0000b273125b1a330b6f6100ab19dbed,2008-05-12
1UwzOp5hn3lAbOqsAfXBw8,We Sing. We Dance. We Steal Things. (Bonus Tracks Version),26,https://i.scdn.co/image/ab67616d0000b27333091fbb40edc2249e682bf2,2008-05-01
1xT5AJ90okXtEV70jLkXNY,Jason Mraz Live & Acoustic 2001,15,https://i.scdn.co/image/ab67616d0000b273e74916d23cad509eb74446b8,2008-01-01
1yN7lmtDbJYWkblSBLoAXA,Selections for Friends,14,https://i.scdn.co/image/ab67616d0000b273274fd0cc6bcf65dc94c452ac,2007-02-13
0swM8EuQkgYV2knrZ8rFl2,Mr. A-Z,12,https://i.scdn.co/image/ab67616d0000b273aea5f17bbea18d74b711f169,2005-07-26
1zm48jOTwtPLx6sCMSTOg3,Mr. A-Z (Deluxe Edition),16,https://i.scdn.co/image/ab67616d0000b27336e4f8cd3e230c78d774de12,2005
4JLRwvuD8BkYldvvPDJELW,"Tonight, Not Again: Jason Mraz Live at the Eagles Ballroom",15,https://i.scdn.co/image/ab67616d0000b273b2ba5b3409b9ab962141088f,2004-08-24
6I9GBueBmRdHdDQjbL7El1,Waiting for My Rocket to Come,12,https://i.scdn.co/image/ab67616d0000b273910f35a11884e4195f9a1465,2002
656rVFLFjUHvyK31pRJDXg,EVER / GOLD,10,https://i.scdn.co/image/ab67616d0000b2737629af1e1600111e11c05864,2026-01-23
6yx0gSVORmm9Sx7atiiUjH,Evergold,10,https://i.scdn.co/image/ab67616d0000b273e2758593eb75a00a2a035536,2024-04-26
262WDpIo6R8eiVSAzD5ztb,Westward,11,https://i.scdn.co/image/ab67616d0000b27305932a913cc1bb7e17997d02,2022-04-22
7G78HVl5SJNmEdem6QIGfA,Ash & Stone,11,https://i.scdn.co/image/ab67616d0000b273663c31936a632ef594b07148,2020-09-11
6NEBdOy6auSHbdeC3jB4hQ,Echos,11,https://i.scdn.co/image/ab67616d0000b27383b618f5aa53df55a063f662,2018-02-23
6gqhPighIztVIp72MbJfYv,O Holy Night,8,https://i.scdn.co/image/ab67616d0000b273375d7f67d8b3d349833675be,2017-11-03
6xWGNnipxLJCfRPPB9e9Iy,In Deepest Blue (Bonus Track Version),14,https://i.scdn.co/image/ab67616d0000b273d8563dce259fe24965eb2089,2016-10-21
5fphtHzTlavhYlbeSDvNO1,Where The Mountain Meets The Valley,12,https://i.scdn.co/image/ab67616d0000b273e6655a69a59d319e2d3b00b4,2012-05-15
3K7JQz60YupZIlRg30uDvj,"Cover Sessions, Vol. 6",19,https://i.scdn.co/image/ab67616d0000b273ace4d9ab4b163d047af84d34,2020-05-15
4GpfRZguf7uOAWUzKePjf5,"Cover Sessions, Vol. 5",30,https://i.scdn.co/image/ab67616d0000b273ae75a74b145241e2b4baa7f9,2020-01-24
67PRELisKPPiMEurHc671X,Live At The Royal Albert Hall,21,https://i.scdn.co/image/ab67616d0000b273014e76430111d3317834156f,2018-10-14
4GRswj5X73eFGhe6QDTRCD,"Cover Sessions, Vol. 4",56,https://i.scdn.co/image/ab67616d0000b273eb52107a749a04b3741316dc,2017-12-19
